NAME_OLD,SMILES,NAME_NEW
2E_4E_Hexa_24_dienal,CCCCCC\C=C\C=O,trans-2-Nonenal
2E_4Z_Hexa_2_4_dienal,CCCCCC\C=C/C=O,Z-Non-2-enal
2E_Penta_2_enal,CCCCC\C=C/C=O,2-Octenal
246_Heptatrienal,CCC=CCC=CCC=O,36-nonadienal
Propionic_acid,CCC(=O)O,propionic_acid
Butyric_acid,CCCC(=O)O,butyric_acid
Isobutyric_acid,CC(C)C(O)=O,ISOBUTYRIC_ACID
2_Methylbutanoic_acid,CCC(C)C(=O)O,2-Methylbutanoic_acid
Butyl_butyrate,CCCCCC(=O)OCC,ETHYL_HEXANOATE
Pentyl_acetate,CCCCC(=O)OCC,ETHYL_VALERATE
Hexyl_acetate,CCCCCOC(=O)CC,Pentyl_propionate
Heptyl_acetate,CCCCCCOC(=O)C,Hexyl_acetate
2_Butanol,CCC(C)CO,2-METHYL-1-BUTANOL
2_Methyl_2_propanol,CC(C)CCO,Isoamyl_alcohol
Isobutyraldehyde,CCC(C)C=O,2-Methylbutyraldehyde
Crotyl_alcohol,CC\C=C/CCO,cis-3-Hexen-1-ol
34_Dithiahexane,CCCSSCCC,Dipropyl_disulfide
13_Dithiane,CSCSC,Bis-methylthio-methane
245_Trithiapentane,CSSSC,Dimethyl_trisulfide
23_Dithiapentane,CSSC,Dimethyl_Disulfide